,Unique_Key,DATE,TIME,BOROUGH,Zip_Code,LATITUDE,LONGITUDE
215,3590431,2017-01-01,19:52,BROOKLYN,11217.0,40.689355600000006,-73.9785667
217,3590436,2017-01-01,1:00,QUEENS,11385.0,40.7072563,-73.9027017
218,3590353,2017-01-01,1:00,BROOKLYN,11223.0,40.6056922,-73.9802826
219,3590010,2017-01-01,1:00,QUEENS,11358.0,40.7537655,-73.8048849
220,3589950,2017-01-01,1:00,QUEENS,11365.0,40.739653600000004,-73.80745590000001
222,3591246,2017-01-01,1:05,MANHATTAN,10002.0,40.7194838,-73.9912843
223,3590553,2017-01-01,1:05,BROOKLYN,11235.0,40.583106,-73.95414140000001
225,3591220,2017-01-01,1:20,BROOKLYN,11215.0,40.673999200000004,-73.98227759999999
227,3590029,2017-01-01,1:25,MANHATTAN,10001.0,40.7491494,-73.9956907
230,3591186,2017-01-01,1:30,BROOKLYN,11201.0,40.6949617,-73.987162
231,3590783,2017-01-01,1:30,QUEENS,11372.0,40.7517871,-73.88468420000001
232,3589949,2017-01-01,1:30,MANHATTAN,10002.0,40.7205758,-73.9871499
233,3589970,2017-01-01,1:30,QUEENS,11001.0,40.7366974,-73.7049663
234,3591353,2017-01-01,1:30,MANHATTAN,10001.0,40.754584,-73.9991446
238,3590453,2017-01-01,1:42,BROOKLYN,11229.0,40.5993815,-73.9514043
240,3590263,2017-01-01,1:44,BROOKLYN,11212.0,40.657858399999995,-73.9164877
241,3589952,2017-01-01,1:48,QUEENS,11414.0,40.6678948,-73.8420304
243,3589972,2017-01-01,1:50,QUEENS,11417.0,40.6822652,-73.8451332
244,3590907,2017-01-01,1:55,BROOKLYN,11205.0,40.69500479999999,-73.9524886
245,3590543,2017-01-01,1:55,BROOKLYN,11208.0,40.67613060000001,-73.8848547
247,3591180,2017-01-01,20:00,BROOKLYN,11223.0,40.598312,-73.9611853
248,3590339,2017-01-01,20:00,MANHATTAN,10013.0,40.718454799999996,-73.9977598
249,3590294,2017-01-01,20:00,QUEENS,11377.0,40.7453924,-73.9066122
252,3590351,2017-01-01,20:05,BROOKLYN,11204.0,40.6151842,-73.9836655
255,3591428,2017-01-01,20:18,BROOKLYN,11237.0,40.703239,-73.9143859
256,3590363,2017-01-01,20:19,QUEENS,11354.0,40.7607289,-73.8327642
257,3603728,2017-01-01,20:20,BROOKLYN,11212.0,40.65473,-73.90692
259,3590422,2017-01-01,20:30,STATEN ISLAND,10309.0,40.557180100000004,-74.20975290000001
260,3591354,2017-01-01,20:35,MANHATTAN,10011.0,40.745416299999995,-74.00819940000001
261,3590607,2017-01-01,20:40,BROOKLYN,11236.0,40.6456472,-73.90289969999999
263,3591324,2017-01-01,20:47,BRONX,10459.0,40.820189,-73.8906752
264,3590272,2017-01-01,20:47,QUEENS,11413.0,40.677669,-73.7406564
266,3590731,2017-01-01,20:59,MANHATTAN,10019.0,40.7647907,-73.98428220000001
267,3590325,2017-01-01,21:00,QUEENS,11373.0,40.733115999999995,-73.87057220000001
268,3590567,2017-01-01,21:00,MANHATTAN,10016.0,40.746660999999996,-73.98035990000001
269,3592085,2017-01-01,21:00,QUEENS,11101.0,40.7403404,-73.93634370000001
271,3592475,2017-01-01,21:00,BROOKLYN,11208.0,40.6744045,-73.8697525
274,3591313,2017-01-01,21:27,BROOKLYN,11226.0,40.6388511,-73.964927
275,3590840,2017-01-01,21:30,MANHATTAN,10034.0,40.860862299999994,-73.92019140000001
276,3591074,2017-01-01,21:30,BRONX,10473.0,40.8203001,-73.8546356
277,3591515,2017-01-01,21:40,BROOKLYN,11230.0,40.6172775,-73.96666359999999
282,3590313,2017-01-01,22:00,QUEENS,11358.0,40.757917600000006,-73.7874059
283,3590717,2017-01-01,22:00,MANHATTAN,10019.0,40.7637658,-73.9779471
284,3590364,2017-01-01,22:00,QUEENS,11355.0,40.7555143,-73.82029940000001
285,3591516,2017-01-01,22:20,BROOKLYN,11230.0,40.6173816,-73.96573790000001
287,3590791,2017-01-01,22:30,QUEENS,11370.0,40.76572410000001,-73.8923819
288,3590449,2017-01-01,22:30,QUEENS,11420.0,40.6822862,-73.808047
290,3590836,2017-01-01,22:40,MANHATTAN,10036.0,40.7607786,-73.9909287
296,3591519,2017-01-01,23:00,BROOKLYN,11230.0,40.633111,-73.9721609
297,3590347,2017-01-01,23:30,QUEENS,11427.0,40.7291933,-73.7391317
298,3591875,2017-01-01,23:40,MANHATTAN,10036.0,40.7584292,-73.9926328
300,3591187,2017-01-01,23:45,BROOKLYN,11229.0,40.6062171,-73.9539239
302,3590792,2017-01-01,23:50,QUEENS,11372.0,40.7476924,-73.8937969
307,3590922,2017-01-01,2:00,MANHATTAN,10026.0,40.802970200000004,-73.94785309999999
308,3590595,2017-01-01,2:00,QUEENS,11385.0,40.7005934,-73.85456490000001
311,3591498,2017-01-01,2:00,BRONX,10451.0,40.816534999999995,-73.9282179
312,3595037,2017-01-01,2:00,MANHATTAN,10002.0,40.7152349,-73.9908556
313,3590720,2017-01-01,2:00,MANHATTAN,10013.0,40.7172333,-74.00479059999999
314,3591226,2017-01-01,2:00,MANHATTAN,10016.0,40.7439442,-73.9836267
315,3590017,2017-01-01,2:04,MANHATTAN,10024.0,40.7826486,-73.9731455
316,3590281,2017-01-01,2:07,MANHATTAN,10032.0,40.832865600000005,-73.9420334
317,3590024,2017-01-01,2:10,STATEN ISLAND,10306.0,40.5744014,-74.0992969
320,3590027,2017-01-01,2:15,QUEENS,11434.0,40.6667525,-73.77993559999999
326,3590642,2017-01-01,2:30,BROOKLYN,11221.0,40.6970777,-73.931841
327,3591365,2017-01-01,2:30,BRONX,10451.0,40.821174799999994,-73.92573440000001
331,3591479,2017-01-01,2:36,BRONX,10457.0,40.8468635,-73.9014132
332,3590025,2017-01-01,2:38,QUEENS,11414.0,40.6641936,-73.8411164
335,3589969,2017-01-01,2:45,BROOKLYN,11201.0,40.6899325,-73.9814728
336,3590749,2017-01-01,2:45,QUEENS,11105.0,40.779633700000005,-73.9108358
337,3591953,2017-01-01,2:45,BROOKLYN,11206.0,40.6939053,-73.9489157
339,3589977,2017-01-01,2:50,BROOKLYN,11217.0,40.6866467,-73.9798115
340,3590181,2017-01-01,2:50,QUEENS,11428.0,40.7184964,-73.73531
342,3590008,2017-01-01,2:56,QUEENS,11103.0,40.7603421,-73.91235959999999
343,3591204,2017-01-01,3:00,QUEENS,11377.0,40.744939200000005,-73.9095866
344,3590178,2017-01-01,3:00,QUEENS,11422.0,40.6552568,-73.7401921
345,3592587,2017-01-01,3:00,MANHATTAN,10032.0,40.8308901,-73.9434733
346,3589982,2017-01-01,3:10,MANHATTAN,10013.0,40.71754910000001,-73.99931099999999
347,3590432,2017-01-01,3:11,MANHATTAN,10016.0,40.74898579999999,-73.979955
352,3590909,2017-01-01,3:30,BROOKLYN,11205.0,40.6906856,-73.95535840000001
353,3590457,2017-01-01,3:30,QUEENS,11385.0,40.7030865,-73.8597025
354,3591133,2017-01-01,3:32,BROOKLYN,11237.0,40.7093326,-73.9224829
356,3592468,2017-01-01,3:40,QUEENS,11435.0,40.7005823,-73.80774179999999
357,3595088,2017-01-01,3:40,BRONX,10461.0,40.8388381,-73.8442338
358,3590692,2017-01-01,3:45,MANHATTAN,10016.0,40.7416518,-73.9800763
359,3593004,2017-01-01,3:45,MANHATTAN,10034.0,40.865685,-73.92892049999999
