UNIQUE KEY,DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,PERSONS INJURED
3596911,1/12/2017,10:45,,,,,,ALBANY AVENUE,,,1
3596900,1/12/2017,10:50,,,40.590492,-74.19359,"(40.590492, -74.19359)",,,,0
3596934,1/12/2017,10:50,,,,,,MANSE STREET,,,0
3597523,1/12/2017,10:55,MANHATTAN,10016,,,,EAST 37 STREET,3 AVENUE,,0
3598339,1/12/2017,11:00,MANHATTAN,10018,40.7546107,-73.9867607,"(40.7546107, -73.9867607)",,,1440      BROADWAY,0
3596910,1/12/2017,11:00,MANHATTAN,10034,40.8685352,-73.9184069,"(40.8685352, -73.9184069)",,,5000      BROADWAY,0
3598040,1/12/2017,11:00,BRONX,10456,40.8316873,-73.9038026,"(40.8316873, -73.9038026)",,,1271      FULTON AVENUE,0
3598615,1/12/2017,11:00,QUEENS,11366,40.7273165,-73.8029491,"(40.7273165, -73.8029491)",75 AVENUE,166 STREET,,0
3597333,1/12/2017,11:00,QUEENS,11416,40.6825519,-73.863499,"(40.6825519, -73.863499)",,,75-13     95 AVENUE,0
3597071,1/12/2017,11:00,QUEENS,11422,40.6844797,-73.7314716,"(40.6844797, -73.7314716)",,,121-03    234 STREET,0
3597449,1/12/2017,11:00,QUEENS,11691,40.6032723,-73.7510504,"(40.6032723, -73.7510504)",BEACH 18 STREET,MOTT AVENUE,,0
3600751,1/12/2017,11:00,,,40.66159,-73.99686,"(40.66159, -73.99686)",4 AVENUE,,,0
3597412,1/12/2017,11:00,,,,,,BRUSH AVENUE,,,0
3597202,1/12/2017,11:00,,,,,,STATE STREET,,,0
3598714,1/12/2017,11:01,,,,,,18 AVENUE,EAST 3 STREET,,0
3596829,1/12/2017,11:05,QUEENS,11101,40.7419646,-73.935061,"(40.7419646, -73.935061)",,,47-57     31 PLACE,0
3598028,1/12/2017,11:10,,,,,,,,,1
3597445,1/12/2017,11:15,MANHATTAN,10025,40.7921286,-73.971773,"(40.7921286, -73.971773)",AMSTERDAM AVENUE,WEST 93 STREET,,0
3599066,1/12/2017,11:20,,,40.525616,-74.229416,"(40.525616, -74.229416)",,,,0
3597851,1/12/2017,11:27,STATEN ISLAND,10312,40.5378585,-74.1741325,"(40.5378585, -74.1741325)",AMBOY ROAD,BARCLAY AVENUE,,0
3596848,1/12/2017,11:30,,,,,,ROGERS AVENUE,,,0
3597067,1/12/2017,11:30,BRONX,10453,40.8599781,-73.9085083,"(40.8599781, -73.9085083)",,,98        WEST 183 STREET,0
3597631,1/12/2017,11:30,BROOKLYN,11220,40.6397842,-74.0015061,"(40.6397842, -74.0015061)",50 STREET,9 AVENUE,,0
3596805,1/12/2017,11:30,,,,,,SHORE PARKWAY,,,0
3597135,1/12/2017,11:30,,,,,,UNION STREET,,,0
3602071,1/12/2017,11:30,,,40.617752,-74.025055,"(40.617752, -74.025055)",,,,2
3598715,1/12/2017,11:34,,,,,,CONEY ISLAND AVENUE,PARK CIRCLE,,0
3597181,1/12/2017,11:40,QUEENS,11372,40.7536328,-73.885966,"(40.7536328, -73.885966)",34 AVENUE,81 STREET,,0
3597092,1/12/2017,11:40,BROOKLYN,11233,40.6855119,-73.9241872,"(40.6855119, -73.9241872)",,,791       HANCOCK STREET,1
3597153,1/12/2017,11:40,QUEENS,11101,40.7427676,-73.9330105,"(40.7427676, -73.9330105)",47 AVENUE,32 PLACE,,0
3597212,1/12/2017,11:45,,,,,,MARATHON PARKWAY,HORACE HARDING EXPRESSWAY,,0
3597383,1/12/2017,11:48,,,,,,RIVERDALE AVENUE,WEST 238 STREET,,0
3598583,1/12/2017,11:50,,,,,,3 AVENUE,EAST 152 STREET,,0
3597847,1/12/2017,11:50,,,,,,DRUMGOOLE ROAD WEST,,,1
3597606,1/12/2017,12:00,BROOKLYN,11217,40.6860873,-73.9826602,"(40.6860873, -73.9826602)",NEVINS STREET,ATLANTIC AVENUE,,0
3597790,1/12/2017,12:00,BROOKLYN,11238,40.6789349,-73.9619567,"(40.6789349, -73.9619567)",GRAND AVENUE,DEAN STREET,,0
3597370,1/12/2017,12:00,MANHATTAN,10019,40.7667145,-73.9828775,"(40.7667145, -73.9828775)",WEST 57 STREET,8 AVENUE,,0
3597849,1/12/2017,12:00,STATEN ISLAND,10309,40.5487845,-74.2107845,"(40.5487845, -74.2107845)",ROSSVILLE AVENUE,BALSAM PLACE,,0
3600753,1/12/2017,12:00,,,40.660397,-73.98038,"(40.660397, -73.98038)",16 STREET,,,0
3597164,1/12/2017,12:00,BRONX,10462,40.8453974,-73.8587301,"(40.8453974, -73.8587301)",,,1703      BRONXDALE AVENUE,0
3597269,1/12/2017,12:00,,,,,,UNIVERSITY AVENUE,WEST BURNSIDE AVENUE,,0
3597158,1/12/2017,12:00,QUEENS,11423,40.7258139,-73.7795566,"(40.7258139, -73.7795566)",ABERDEEN ROAD,188 STREET,,0
3597072,1/12/2017,12:05,QUEENS,11413,40.6596355,-73.7648175,"(40.6596355, -73.7648175)",,,147-35    183 STREET,0
3597643,1/12/2017,12:10,BROOKLYN,11206,40.6981523,-73.9446641,"(40.6981523, -73.9446641)",,,767       PARK AVENUE,0
3596881,1/12/2017,12:11,,,,,,JAMAICA AVENUE,,,0
3597121,1/12/2017,12:15,BRONX,10459,40.819878,-73.90153,"(40.819878, -73.90153)",,,866       PROSPECT AVENUE,1
3597258,1/12/2017,12:30,BROOKLYN,11215,40.6657507,-73.9792267,"(40.6657507, -73.9792267)",9 STREET,8 AVENUE,,1
3597151,1/12/2017,12:30,QUEENS,11377,40.7357303,-73.8932314,"(40.7357303, -73.8932314)",71 STREET,51 AVENUE,,0
3596890,1/12/2017,12:30,QUEENS,11434,40.688364,-73.776619,"(40.688364, -73.776619)",MERRICK BOULEVARD,116 AVENUE,,0
